region,country,lakeno,year,mesh,lakearea,waterdepth,tn,tp,elev,lat,long,source,S_PIE,S,N,S_n
Temperate,Denmark,DK_53004,2004,212,0.21,1.63,0.91,0.14,15,55.6139,12.4374,erik,1.959049345,11,23513,10.01363716
Temperate,Denmark,DK_53057,2004,212,0.1,1.4,0.97,0.14,15,55.615,12.4265,erik,1.817442193,9,18335,8.491614508
Temperate,Denmark,DK_51040,2004,212,0.3,2.33,2.08,0.17,15,55.6186,11.3205,erik,4.820976992,10,4169,9.997898665
Temperate,Denmark,DK_30088,2005,212,0.11,1.45,0.87,0.04,15,55.638,8.2595,erik,3.77352051,6,766,6
Temperate,Denmark,DK_55016,2006,212,0.15,0.72,3.4,0.41,15,55.638,11.5142,erik,2.761296104,14,21312,12.28115819
Temperate,Denmark,DK_53041,2006,212,0.17,1.1,1.25,0.13,15,55.6382,12.3467,erik,1.536500495,7,7204,6.982847839
Temperate,Denmark,DK_30005,2006,212,0.12,0.8,0.45,0.01,15,55.6452,8.2086,erik,9.111729067,19,3058,18.98949019
Temperate,Denmark,DK_31004,2006,212,0.86,1.7,2.72,0.06,15,55.6482,8.5854,erik,3.068289503,11,5776,10.98236461
Temperate,Denmark,DK_55001,2004,212,1.92,2.66,1.53,0.11,15,55.6523,11.3736,erik,4.069256759,13,22860,11.66843852
Temperate,Denmark,DK_30004,2005,212,0.33,0.7,0.87,0.08,15,55.6528,8.1668,erik,2.212781591,5,1473,5
Temperate,Denmark,DK_55015,2006,212,0.09,0.93,1.43,0.03,15,55.6634,11.3314,erik,3.698290371,13,24704,11.88590816
Temperate,Denmark,DK_30098,2004,212,0.27,0.31,4.8,0.9,15,55.6761,8.1783,erik,9.609813966,27,7185,26.76735507
Temperate,Denmark,DK_53025,2006,212,0.19,2.17,0.91,0.2,15,55.6763,12.4763,erik,4.529513673,12,7244,11.94460041
Temperate,Denmark,DK_20091,2006,212,0.06,0.86,0.76,0.06,15,55.6764,12.4761,erik,5.888994504,10,2298,9.999995776
Temperate,Denmark,DK_53018,2005,212,0.46,1.6,0.92,0.05,15,55.6769,12.4761,erik,6.863982973,14,9952,13.88357294
Temperate,Denmark,DK_30010,2004,212,0.23,0.51,1.05,0.11,15,55.6779,8.28,erik,6.765343715,14,1887,13.99999975
Temperate,Denmark,DK_52111,2006,212,0.04,1.57,1.39,0.04,15,55.6817,12.3387,erik,5.207854548,16,8515,15.8354334
Temperate,Denmark,DK_30001,2005,212,0.23,1.31,0.76,0.03,15,55.6887,12.5666,erik,4.772031226,9,3181,8.999860599
Temperate,Denmark,DK_53026,2006,212,0.14,2,1.13,0.16,15,55.6947,12.5744,erik,3.818526349,13,5772,12.96184981
Temperate,Denmark,DK_30002,2004,212,0.73,0.61,1.1,0.16,15,55.6996,8.22,erik,5.796390179,19,6244,18.93365251
Temperate,Denmark,DK_38005,2007,212,0.53,5.7,2.52,0.05,15,55.7178,9.3198,erik,2.351203941,4,1060,4
Temperate,Denmark,DK_32004,2006,212,0.43,2.6,0.68,0.04,15,55.7184,9.3179,erik,3.089468735,14,11974,13.66684697
Temperate,Denmark,DK_53031,2005,212,0.06,1.72,1.01,0.11,15,55.7227,12.549,erik,3.818289351,8,2415,7.999991011
Temperate,Denmark,DK_31005,2006,212,0.3,1.2,0.7,0.05,15,55.7248,8.7693,erik,4.450493396,18,14229,16.59399245
Temperate,Denmark,DK_52005,2005,212,0.32,1.2,2.61,0.28,15,55.7265,12.186,erik,3.869829118,9,12208,8.571251244
Temperate,Denmark,DK_53036,2005,212,0.26,0.98,1.1,0.05,15,55.7472,12.5352,erik,6.832593567,20,5718,19.96115146
Temperate,Denmark,DK_50001,2005,212,1.19,1.99,1.46,0.08,15,55.7705,12.4628,erik,1.633388997,3,1012,3
Temperate,Denmark,DK_50026,2005,212,0.16,1.68,1.49,0.12,15,55.7736,12.4855,erik,1.388501401,2,358,2
Temperate,Denmark,DK_21264,2005,212,0.08,2.33,1.28,0.12,15,55.8257,12.2185,erik,6.349969469,17,20843,15.17291959
Temperate,Denmark,DK_50050,2004,212,0.21,1.52,0.97,0.1,15,55.8953,12.4023,erik,3.554664721,8,16370,7.796304931
Temperate,Denmark,DK_52138,2004,212,0.06,0.93,1.91,0.28,15,55.9093,12.2829,erik,6.049775268,24,30598,22.1189307
Temperate,Denmark,DK_25297,2004,212,0.33,1.62,1.82,0.04,15,55.9341,9.3177,erik,2.745122092,23,15429,21.88268821
Temperate,Denmark,DK_25076,2005,212,0.11,2.1,0.35,0.03,15,55.9403,9.299,erik,4.625171909,15,16611,14.24946883
Temperate,Denmark,DK_51041,2006,212,0.18,1.63,0.88,0.01,15,55.9629,11.7454,erik,7.019884271,23,12504,22.19792186
Temperate,Denmark,DK_21014,2004,212,0.22,0.8,1.69,0.1,15,55.9773,9.4899,erik,8.830622192,26,25303,24.07961068
Temperate,Denmark,DK_21269,2005,212,0.1,4.5,0.52,0.03,15,56.0106,9.6798,erik,1.211085928,3,1905,2.999999972
Temperate,Denmark,DK_21328,2006,212,0.23,1.9,2.45,0.85,15,56.0282,9.9278,erik,2.895843295,6,11893,5.892434426
Temperate,Denmark,DK_25044,2004,212,0.74,2.75,0.4,0.02,15,56.0483,9.0714,erik,3.438543915,13,13031,12.03699031
Temperate,Denmark,DK_48012,2006,212,0.3,1,1.71,0.2,15,56.0628,12.5314,erik,3.292397481,10,10657,9.868710967
Temperate,Denmark,DK_26061,2006,212,0.1,1.04,1.29,0.3,15,56.1292,9.9748,erik,4.244020778,27,13782,25.87572304
Temperate,Denmark,DK_21294,2004,212,0.07,1.01,1.91,0.13,15,56.1297,9.5741,erik,1.361747097,6,3239,5.999831842
